config,beta,n,score_drift_mse,mean_abs_dsigma,mean_abs_dlogit,flip_rate,auc,inv_eps_b
6:6:6,0.0,2000,0.0,0.0,0.0,0.0,0.956338,50.0
6:6:6,0.1,16000,1.5074655050419865e-05,0.0005306721558830936,0.003875,0.00125,0.956248109375,48.78048780487805
6:6:6,0.2,16000,1.7459421380150675e-05,0.0006097155031702367,0.004546875,0.0013125,0.956260421875,48.484848484848484
6:6:6,0.3,16000,2.298541228145985e-05,0.0007294152168515055,0.0056640625,0.001625,0.95620653125,48.192771084337345
6:6:6,0.4,16000,2.4643722445966597e-05,0.0007548229853101678,0.006171875,0.0016875,0.9561851875,47.90419161676646
6:6:6,0.5,16000,1.5067384349903463e-05,0.0004416411961686236,0.0042734375,0.00075,0.956285640625,49.68944099378882
6:6:6,0.6,16000,2.4741170979498808e-05,0.0007575313600375586,0.0074140625,0.0013125,0.956232890625,47.90419161676646
6:6:6,0.7,16000,2.5098973109155775e-05,0.0007327712088895974,0.007609375,0.001125,0.956233109375,48.78048780487805
6:6:6,0.8,16000,0.00013811486087769815,0.0012112989831350952,0.0130703125,0.00225,0.95611009375,48.192771084337345
6:6:6,0.9,16000,0.00112288108412879,0.0034514184364308437,0.0366953125,0.0045,0.9548486875,48.78048780487805
6:6:6,0.95,16000,0.0036855274907855035,0.009620413396074383,0.0969453125,0.011,0.950728203125,49.079754601226995
6:6:8,0.0,2000,0.0,0.0,0.0,0.0,0.961452,125.0
6:6:8,0.1,16000,2.0486719521221884e-05,0.0006187937865565559,0.0047890625,0.0018125,0.96149196875,125.0
6:6:8,0.2,16000,1.8324195336645967e-05,0.0005627905995816594,0.0044140625,0.0018125,0.96149159375,125.0
6:6:8,0.3,16000,2.2808498165076928e-05,0.0006296657311583052,0.0048359375,0.001625,0.9615098125,125.0
6:6:8,0.4,16000,2.507050259896542e-05,0.0006146443392899437,0.0048828125,0.00125,0.96149303125,123.07692307692307
6:6:8,0.5,16000,4.4124610289230975e-05,0.0007701900359697726,0.0060078125,0.0016875,0.961414734375,125.0
6:6:8,0.6,16000,6.094358057005446e-05,0.0008580534315378057,0.0069921875,0.0015625,0.961398453125,125.0
6:6:8,0.7,16000,9.614866653550381e-05,0.0010562123639384947,0.0086484375,0.0015625,0.961346796875,121.2121212121212
6:6:8,0.8,16000,0.00024437339286646656,0.0016495120931393386,0.0131640625,0.00175,0.96131371875,123.07692307692307
6:6:8,0.9,16000,0.0014291541413746266,0.00523078534150702,0.037625,0.0048125,0.960155046875,117.6470588235294
6:6:8,0.95,16000,0.004649161251012001,0.013861799836916745,0.0944296875,0.012125,0.956221453125,67.79661016949153
6:6:12,0.0,2000,0.0,0.0,0.0,0.0,0.961721,100.0
6:6:12,0.1,16000,6.028602256897952e-07,2.1250768227332065e-05,0.0001484375,0.0,0.961721625,100.0
6:6:12,0.2,16000,5.545095226227408e-07,2.0697737286839964e-05,0.0001484375,0.0,0.96172325,100.0
6:6:12,0.3,16000,2.192889003291211e-06,3.977921684989522e-05,0.00028125,0.0,0.961720125,100.0
6:6:12,0.4,16000,3.2254287623592614e-06,5.301526032701476e-05,0.0003828125,0.0,0.961720625,100.0
6:6:12,0.5,16000,7.6055358358685585e-06,8.869742683512785e-05,0.00071875,0.0,0.96171925,100.0
6:6:12,0.6,16000,1.5128581027393504e-05,0.0001603797872496798,0.001390625,0.0,0.961719875,100.0
6:6:12,0.7,16000,2.1508760467434973e-05,0.00022042496204658648,0.0019296875,0.0,0.96172225,100.0
6:6:12,0.8,16000,0.00011587756477994058,0.0005905551780985467,0.0044140625,0.0003125,0.9616675625,100.0
6:6:12,0.9,16000,0.0010139108264906724,0.0031605722574075167,0.0204375,0.0030625,0.9603485625,100.0
6:6:12,0.95,16000,0.0034029444783258136,0.00963002699476174,0.05875,0.0103125,0.955381390625,100.0
8:8:16,0.0,2000,0.0,0.0,0.0,0.0,0.963153,83.33333333333333
8:8:16,0.1,16000,3.5583797126943214e-08,4.455515005326484e-06,3.515625e-05,0.0,0.963153,83.33333333333333
8:8:16,0.2,16000,2.473174245322995e-08,3.5449366751525374e-06,2.5390625e-05,0.0,0.963153,83.33333333333333
8:8:16,0.3,16000,3.7730869964531548e-06,3.4722732509412255e-05,0.000578125,0.0,0.963152875,83.33333333333333
8:8:16,0.4,16000,5.6820049724948254e-06,5.582429365057811e-05,0.00103125,0.0,0.963153,83.33333333333333
8:8:16,0.5,16000,6.062910987372153e-06,6.931189816162038e-05,0.001439453125,0.0,0.963153,83.33333333333333
8:8:16,0.6,16000,9.345401142716408e-06,0.00011386726994176686,0.00252734375,0.0,0.9631515,83.33333333333333
8:8:16,0.7,16000,9.970614328069698e-06,0.00012822825088742816,0.002919921875,0.0,0.963153,83.33333333333333
8:8:16,0.8,16000,0.00018526167873984884,0.0005165032031985754,0.00795703125,0.0003125,0.963026953125,83.33333333333333
8:8:16,0.9,16000,0.0018104704563513588,0.003438132369331046,0.038951171875,0.0029375,0.960037484375,83.33333333333333
8:8:16,0.95,16000,0.00594219781009701,0.011001420377316799,0.117017578125,0.00975,0.950281984375,83.33333333333333
12:12:16,0.0,2000,0.0,0.0,0.0,0.0,0.96373,83.33333333333333
12:12:16,0.1,16000,1.9332083761747642e-08,1.285471043066205e-05,9.8388671875e-05,0.0,0.96373065625,83.33333333333333
12:12:16,0.2,16000,1.5558853766820846e-08,1.0799454062030584e-05,8.28857421875e-05,0.0,0.963731171875,83.33333333333333
12:12:16,0.3,16000,5.707265801578543e-06,4.9810851905648685e-05,0.0006932373046875,0.0,0.9637285,83.33333333333333
12:12:16,0.4,16000,8.171933607717807e-06,7.496528606640749e-05,0.0011754150390625,0.0,0.963730046875,83.33333333333333
12:12:16,0.5,16000,9.021258371042038e-06,9.366060946925006e-05,0.0016875,0.0,0.9637304375,83.33333333333333
12:12:16,0.6,16000,1.386210480281713e-05,0.0001581838752482006,0.0031033935546875,0.0,0.963729015625,83.33333333333333
12:12:16,0.7,16000,1.5360576288840204e-05,0.0001835178322514487,0.0037647705078125,0.0,0.963730375,83.33333333333333
12:12:16,0.8,16000,0.00017668826904824997,0.0006017423802238855,0.0094669189453125,0.0003125,0.9635906875,83.33333333333333
12:12:16,0.9,16000,0.0016872680599424475,0.0035591101016186504,0.0429434814453125,0.0026875,0.960458625,83.33333333333333
12:12:16,0.95,16000,0.005740981828291632,0.01138377742441515,0.1277266845703125,0.0086875,0.950415203125,83.33333333333333
16:16:16,0.0,2000,0.0,0.0,0.0,0.0,0.950554,58.8235294117647
