config,beta,n,score_drift_mse,mean_abs_dsigma,mean_abs_dlogit,flip_rate,auc,inv_eps_b
6:6:6,0.0,2000,0.0,0.0,0.0,0.0,0.703031,18.867924528301888
6:6:6,0.1,16000,0.00022136972940728285,0.0075113696065217525,0.0467890625,0.005625,0.699567390625,19.32367149758454
6:6:6,0.2,16000,0.00036964727362448827,0.011470620109824494,0.0711640625,0.008625,0.698368375,19.23076923076923
6:6:6,0.3,16000,0.0005108132296841591,0.014188325528692007,0.0875703125,0.011,0.696795421875,18.69158878504673
6:6:6,0.4,16000,0.0006732305479599272,0.01659596177036817,0.1016796875,0.013125,0.695950828125,18.433179723502306
6:6:6,0.5,16000,0.0008560486643527034,0.0190276336097356,0.115796875,0.01575,0.695049140625,17.937219730941703
6:6:6,0.6,16000,0.0011266546928896154,0.021925841127710156,0.1321953125,0.019,0.694721796875,17.316017316017316
6:6:6,0.7,16000,0.0015377282716345162,0.025493380507881837,0.15246875,0.0225625,0.695415546875,16.03206412825651
6:6:6,0.8,16000,0.0023773012756220543,0.031325392858148504,0.186203125,0.030375,0.697358359375,16.632016632016633
6:6:6,0.9,16000,0.0045091398001412325,0.04287079809678084,0.2549921875,0.0444375,0.702109296875,15.686274509803921
6:6:6,0.95,16000,0.007563397503587433,0.056290283174870545,0.341578125,0.0564375,0.696785140625,15.444015444015443
6:6:8,0.0,2000,0.0,0.0,0.0,0.0,0.778635,28.57142857142857
6:6:8,0.1,16000,0.00023376009144095912,0.006361893839774973,0.0332109375,0.0149375,0.7785575,28.880866425992778
6:6:8,0.2,16000,0.0004305304684253815,0.010698287461971481,0.055375,0.0253125,0.778237265625,28.57142857142857
6:6:8,0.3,16000,0.0006581289125697462,0.014741642778144456,0.07596875,0.0349375,0.775852359375,28.673835125448026
6:6:8,0.4,16000,0.0009210143961342405,0.018720532231534782,0.0960859375,0.0419375,0.774712625,29.09090909090909
6:6:8,0.5,16000,0.001290062675598139,0.02347161381228542,0.1203359375,0.0493125,0.773408375,27.77777777777778
6:6:8,0.6,16000,0.0017894593421468987,0.02900077904666276,0.148453125,0.0576875,0.772450125,27.027027027027028
6:6:8,0.7,16000,0.0026231602931758554,0.03588797861787262,0.18371875,0.06625,0.771281375,29.41176470588235
6:6:8,0.8,16000,0.004426469545753684,0.04696054369912784,0.240546875,0.0805,0.77186771875,27.491408934707906
6:6:8,0.9,16000,0.008737934429356484,0.0669919641124588,0.3434375,0.106875,0.7699290625,21.447721179624665
6:6:8,0.95,16000,0.01578520222104103,0.09136941435526094,0.4705859375,0.1385625,0.759524546875,20.99737532808399
6:6:12,0.0,2000,0.0,0.0,0.0,0.0,0.766394,28.57142857142857
6:6:12,0.1,16000,0.0002591691951340009,0.0056376321558054355,0.0271875,0.015125,0.76583459375,27.491408934707906
